year,interpolated,trend,fluctuation
58.12,385.82,384.96,1
58.12,385.82,384.96,1
58.04,385.52,385.28,1
57.96,383.95,384.83,1
57.88,382.45,384.65,1
57.79,381.12,384.47,1
57.71,380.96,384.32,1
57.62,381.99,383.7,-1
57.54,384.5,384.02,-1
57.46,386.1,383.84,-1
57.38,386.56,383.34,-1
57.29,386.5,383.71,-1
57.21,384.58,382.94,-1
57.12,383.9,383.01,-1
57.04,382.89,382.67,-1
56.96,381.82,382.64,-1
56.88,380.15,382.33,-1
56.79,379.13,382.46,1
56.71,378.85,382.16,1
56.62,380.41,382.08,1
56.54,382.46,381.91,1
56.46,384.05,381.75,1
56.38,385.03,381.87,1
56.29,384.61,381.91,1
56.21,382.67,381.14,1
56.12,382.19,381.38,1
56.04,381.38,381.14,1
55.96,380.11,380.9,1
55.88,378.35,380.5,1
55.79,377,380.31,1
55.71,376.7,380.01,1
55.62,378.74,380.42,-1
55.54,380.74,380.18,-1
55.46,382.21,379.88,-1
55.38,382.45,379.31,-1
55.29,382.29,379.65,-1
55.21,380.77,379.27,-1
55.12,379.73,378.93,-1
55.04,378.46,378.21,-1
54.96,377.51,378.31,-1
54.88,376.16,378.31,-1
54.79,374.46,377.82,1
54.71,374.25,377.62,1
54.62,376.01,377.74,1
54.54,377.47,376.94,1
54.46,379.69,377.39,1
54.38,380.62,377.48,1
54.29,380.35,377.62,1
54.21,378.88,377.23,1
54.12,377.87,377.02,1
54.04,377,376.78,1
53.96,375.99,376.75,1
53.88,374.66,376.81,1
53.79,373.15,376.47,1
53.71,373.17,376.48,1
53.62,374.38,376.08,1
53.54,376.7,376.19,1
53.46,378.28,376.03,-1
53.38,378.6,375.55,-1
53.29,377.73,375.06,-1
53.21,376.46,374.8,-1
53.12,375.64,374.77,-1
53.04,374.88,374.63,-1
52.96,373.79,374.54,-1
52.88,372.25,374.34,-1
52.79,370.55,373.88,1
52.71,370.75,374.11,1
52.62,371.85,373.52,1
52.54,374.01,373.42,1
52.46,375.52,373.3,1
52.38,375.76,372.81,1
52.29,375.02,372.37,1
52.21,374.12,372.44,1
52.12,373.2,372.33,1
52.04,372.53,372.3,1
51.96,371.24,371.92,1
51.88,369.76,371.74,1
51.79,368.45,371.69,1
51.71,368.18,371.44,1
51.62,369.61,371.22,-1
51.54,371.51,370.9,-1
51.46,373.21,370.99,-1
51.38,373.85,370.94,-1
51.29,373.37,370.81,-1
51.21,372.43,370.87,-1
51.12,371.51,370.78,-1
51.04,370.59,370.43,-1
50.96,369.67,370.3,-1
50.88,368.37,370.32,-1
50.79,367.03,370.26,1
50.71,367,370.3,1
50.62,368.13,369.72,1
50.54,369.86,369.2,1
50.46,371.7,369.5,1
50.38,371.58,368.71,1
50.29,371.82,369.28,1
50.21,370.6,369.09,1
50.12,369.54,368.83,1
50.04,369.29,369.08,1
49.96,368.1,368.77,1
49.88,366.72,368.71,1
49.79,365.37,368.64,1
49.71,364.81,368.13,1
49.62,366.9,368.48,-1
49.54,369.45,368.77,-1
49.46,370.3,368.13,-1
49.38,370.96,368.15,-1
49.29,370.99,368.45,-1
49.21,369.68,368.08,-1
49.12,369.07,368.26,-1
49.04,368.18,367.96,-1
48.96,367.13,367.88,-1
48.88,365.52,367.56,-1
48.79,364.4,367.67,1
48.71,364.02,367.37,1
48.62,365.95,367.55,1
48.54,367.82,367.14,1
48.46,368.99,366.8,1
48.38,369.42,366.55,1
48.29,368.66,366.03,1
48.21,367.24,365.6,1
48.12,365.98,,
48.04,365.26,365.07,
47.96,364.38,365.15,
47.88,362.49,364.56,
47.79,360.82,364.12,
47.71,360.29,363.68,
47.62,362.25,363.84,
47.54,364.31,363.6,
47.46,365.59,363.41,
47.38,366.64,363.74,
47.29,366.35,363.68,
47.21,364.51,362.88,
47.12,364.03,363.22,
47.04,363.09,362.88,
46.96,362.25,363.08,
46.88,360.89,363.03,
46.79,359.58,362.97,
46.71,359.54,362.99,
46.62,361.38,362.98,
46.54,363.55,362.85,
46.46,364.92,362.69,
46.38,365.13,362.1,
46.29,364.57,361.86,
46.21,364.17,362.53,
46.12,363.24,362.35,
46.04,362.07,361.85,
45.96,360.68,361.53,
45.88,359.45,361.59,
45.79,357.99,361.37,
45.71,358.17,361.55,
45.62,359.12,360.73,
45.54,361.64,360.97,
45.46,363.19,360.84,
45.38,363.69,360.58,
45.29,363.3,360.62,
45.21,361.83,360.22,
45.12,360.86,360.05,
45.04,359.92,359.79,
44.96,358.98,359.83,
44.88,357.53,359.68,
44.79,356.08,359.49,
44.71,355.73,359.17,
44.62,357.46,359.16,
44.54,359.38,358.79,
44.46,360.81,358.44,
44.38,361.65,358.46,
44.29,361.23,358.46,
44.21,359.99,358.29,
44.12,358.92,358.09,
44.04,358.24,358.13,
43.96,356.91,357.8,
43.88,355.41,357.54,
43.79,354.12,357.49,
43.71,354.03,357.39,
43.62,355.64,357.32,
43.54,357.33,356.76,
43.46,359.52,357.12,
43.38,360.19,357.03,
43.29,359.27,356.59,
43.21,358.47,356.76,
43.12,357.31,356.44,
43.04,357,356.96,
42.96,355.57,356.39,
42.88,354.32,356.38,
42.79,353.32,356.63,
42.71,352.96,356.29,
42.62,354.94,356.62,
42.54,357.01,356.44,
42.46,359.33,356.97,
42.38,359.59,356.41,
42.29,359.09,356.39,
42.21,357.86,356.27,
42.12,357.11,356.38,
42.04,356.25,356.2,
41.96,355.12,355.93,
41.88,353.81,355.8,
41.79,352.35,355.62,
41.71,352.25,355.56,
41.62,353.85,355.46,
41.54,356.19,355.59,
41.46,358.13,355.8,
41.38,359.13,356,
41.29,358.66,356.02,
41.21,357.23,355.67,
41.12,355.73,355.02,
41.04,354.84,354.82,
40.96,354.33,355.19,
40.88,353.07,355.13,
40.79,351.62,354.89,
40.71,351.31,354.61,
40.62,353.01,354.61,
40.54,354.84,354.19,
40.46,356.34,353.97,
40.38,357.32,354.16,
40.29,356.32,353.68,
40.21,355.73,354.24,
40.12,355.04,354.33,
40.04,353.8,353.75,
39.96,352.85,353.8,
39.88,351.49,353.65,
39.79,350.25,353.52,
39.71,350.05,353.32,
39.62,351.81,353.37,
39.54,353.99,353.3,
39.46,355.37,352.97,
39.38,355.86,352.67,
39.29,355.64,352.97,
39.21,353.96,352.47,
39.12,353.27,352.54,
39.04,352.91,352.85,
38.96,351.41,352.34,
38.88,350.2,352.34,
38.79,349.13,352.41,
38.71,348.92,352.13,
38.62,350.4,351.9,
38.54,352.69,352.02,
38.46,353.72,351.37,
38.38,354.21,351.06,
38.29,353.69,351.01,
38.21,352.41,350.87,
38.12,351.64,350.94,
38.04,350.39,350.38,
37.96,349.16,350.05,
37.88,347.96,350.07,
37.79,346.59,349.86,
37.71,346.52,349.7,
37.62,348.08,349.5,
37.54,350.11,349.39,
37.46,351.53,349.2,
37.38,352.09,349.01,
37.29,351.31,348.77,
37.21,349.73,348.3,
37.12,348.73,348.02,
37.04,348.52,348.47,
36.96,347.21,348.12,
36.88,345.93,348.04,
36.79,344.51,347.77,
36.71,345.22,348.35,
36.62,346.08,347.4,
36.54,348.16,347.33,
36.46,349.93,347.52,
36.38,350.38,347.26,
36.29,349.77,347.22,
36.21,348.01,346.68,
36.12,347.28,346.74,
36.04,346.56,346.59,
35.96,345.88,346.81,
35.88,344.49,346.61,
35.79,343.13,346.42,
35.71,343.27,346.4,
35.62,345.02,346.34,
35.54,346.72,345.89,
35.46,348.38,345.94,
35.38,349.06,345.91,
35.29,348.34,345.79,
35.21,347.74,346.37,
35.12,346.16,345.61,
35.04,345.21,345.31,
34.96,344.7,345.57,
34.88,343.1,345.2,
34.79,341.67,345.01,
34.71,341.4,344.58,
34.62,343.55,344.94,
34.54,345.53,344.76,
34.46,346.97,344.51,
34.38,347.63,344.45,
34.29,346.84,344.27,
34.21,345.52,344.09,
34.12,344.79,344.22,
34.04,344.1,344.2,
33.96,343.05,343.96,
33.88,341.59,343.71,
33.79,340.38,343.72,
33.71,340.35,343.49,
33.62,342.27,343.66,
33.54,344.19,343.44,
33.46,345.63,343.15,
33.38,346.03,342.87,
33.29,345.25,342.66,
33.21,343.33,341.82,
33.12,342.9,342.32,
33.04,341.68,341.84,
32.96,340.9,341.79,
32.88,339.6,341.73,
32.79,338.29,341.65,
32.71,338.28,341.47,
32.62,340.09,341.51,
32.54,342.32,341.55,
32.46,343.79,341.35,
32.38,344.63,341.56,
32.29,343.97,341.37,
32.21,342.82,341.21,
32.12,341.73,341.1,
32.04,340.96,341.1,
31.96,339.88,340.79,
31.88,338.58,340.73,
31.79,337.08,340.43,
31.71,336.95,340.17,
31.62,338.44,339.86,
31.54,340.78,339.92,
31.46,342.54,340.07,
31.38,343.04,339.98,
31.29,342.53,339.94,
31.21,341.61,340.06,
31.12,340.55,339.93,
31.04,339.29,339.38,
30.96,338.32,339.26,
30.88,337.27,339.42,
30.79,336.15,339.42,
30.71,336.19,339.33,
30.62,337.7,339.12,
30.54,339.4,338.54,
30.46,341.33,338.84,
30.38,341.48,338.43,
30.29,340.93,338.3,
30.21,340.01,338.43,
30.12,338.34,337.82,
30.04,337.9,338.09,
29.96,336.81,337.79,
29.88,335.31,337.57,
29.79,334.19,337.53,
29.71,333.98,337.2,
29.62,335.75,337.24,
29.54,337.54,336.72,
29.46,339.26,336.84,
29.38,339.21,336.21,
29.29,338.95,336.24,
29.21,338.27,336.54,
29.12,336.69,336.01,
29.04,336.14,336.22,
28.96,334.9,335.88,
28.88,333.75,335.99,
28.79,332.41,335.68,
28.71,332.37,335.51,
28.62,334.41,335.87,
28.54,336.4,335.57,
28.46,338.01,335.59,
28.38,338.03,335.06,
28.29,337.69,335.06,
28.21,336.66,335,
28.12,335.25,334.58,
28.04,334.95,335.01,
27.96,333.6,334.61,
27.88,332.41,334.64,
27.79,331.27,334.52,
27.71,331.29,334.36,
27.62,332.56,333.91,
27.54,334.88,334.02,
27.46,336.16,333.8,
27.38,336.93,333.98,
27.29,336.13,333.51,
27.21,334.95,333.35,
27.12,333.13,332.51,
27.04,332.66,332.76,
26.96,331.63,332.66,
26.88,330.15,332.29,
26.79,328.75,331.92,
26.71,328.95,331.94,
26.62,330.68,331.88,
26.54,333.06,332.14,
26.46,334,331.65,
26.38,334.77,331.84,
26.29,334.64,332.13,
26.21,333.52,332.05,
26.12,332.75,332.2,
26.04,331.59,331.79,
25.96,330.58,331.6,
25.88,329.37,331.41,
25.79,328.34,331.46,
25.71,328.5,331.48,
25.62,329.95,331.11,
25.54,331.98,331.12,
25.46,333.45,331.2,
25.38,333.94,330.98,
25.29,333.17,330.67,
25.21,331.9,330.54,
25.12,331.46,330.93,
25.04,330.73,330.89,
24.96,329.58,330.55,
24.88,328.3,330.28,
24.79,327.28,330.36,
24.71,327.32,330.28,
24.62,329.12,330.26,
24.54,331.07,330.23,
24.46,332.16,329.94,
24.38,333.2,330.27,
24.29,332.65,330.26,
24.21,331.48,330.2,
24.12,330.71,330.12,
24.04,329.35,329.45,
23.96,328.64,329.66,
23.88,328.16,330.16,
23.79,327.18,330.24,
23.71,327.51,330.45,
23.62,329.31,330.42,
23.54,330.87,330.05,
23.46,332.07,329.94,
23.38,332.48,329.62,
23.29,331.5,329.14,
23.21,330.3,328.99,
23.12,329.56,328.86,
23.04,328.54,328.58,
22.96,327.55,328.55,
22.88,326.5,328.5,
22.79,325.06,328.06,
22.71,324.93,327.76,
22.62,326.32,327.37,
22.54,328.05,327.2,
22.46,329.09,326.92,
22.38,330.07,327.23,
22.29,329.72,327.42,
22.21,327.75,326.53,
22.12,327.63,327.04,
22.04,326.77,326.85,
21.96,326.01,327.02,
21.88,324.8,326.82,
21.79,323.57,326.58,
21.71,323.36,326.19,
21.62,325.46,326.49,
21.54,327.34,326.45,
21.46,328.57,326.4,
21.38,328.92,326.11,
21.29,327.78,325.47,
21.21,327.18,325.94,
21.12,326.68,326.1,
21.04,326.17,326.25,
20.96,325.13,326.06,
20.88,323.98,325.96,
20.79,323.16,326.15,
20.71,323.1,325.93,
20.62,324.69,325.76,
20.54,326.35,325.51,
20.46,327.66,325.52,
20.38,328.07,325.27,
20.29,328.13,325.86,
20.21,326.87,325.69,
20.12,325.99,325.42,
20.04,325.03,325.04,
19.96,324.11,324.88,
19.88,322.85,324.78,
19.79,321.78,324.84,
19.71,322.38,325.28,
19.62,323.67,324.8,
19.54,325.88,325.08,
19.46,326.76,324.63,
19.38,327.34,324.57,
19.29,326.66,324.35,
19.21,325.64,324.41,
19.12,324.42,323.89,
19.04,324,323.98,
18.96,322.84,323.69,
18.88,321.31,323.32,
18.79,320.25,323.32,
18.71,320.41,323.31,
18.62,322.03,323.15,
18.54,324.14,323.25,
18.46,325.36,323.2,
18.38,325.57,322.87,
18.29,325.02,322.73,
18.21,323.89,322.59,
18.12,323.15,322.56,
18.04,322.57,322.55,
17.96,321.96,322.86,
17.88,320.72,322.78,
17.79,319.31,322.36,
17.71,319.31,322.19,
17.62,320.92,322.04,
17.54,322.55,321.66,
17.46,324.09,321.94,
17.38,325,322.27,
17.29,324.42,322.05,
17.21,323.04,321.72,
17.12,322.5,321.94,
17.04,322.07,322.07,
16.96,321.08,321.95,
16.88,319.79,321.84,
16.79,318.1,321.18,
16.71,318.64,321.54,
16.62,320.37,321.5,
16.54,322.39,321.49,
16.46,323.75,321.52,
16.38,324.01,321.18,
16.29,323.87,321.51,
16.21,322.39,321.16,
16.12,321.59,321.1,
16.04,320.62,320.63,
15.96,319.42,320.26,
15.88,318.87,320.87,
15.79,317.3,320.36,
15.71,317.81,320.68,
15.62,318.81,319.93,
15.54,321.39,320.51,
15.46,321.87,319.65,
15.38,322.16,319.36,
15.29,322.13,319.8,
15.21,320.89,319.65,
15.12,320.44,319.97,
15.04,319.44,319.48,
14.96,318.71,319.59,
14.88,317.79,319.72,
14.79,316.79,319.78,
14.71,316.7,319.56,
14.62,318.7,319.81,
14.54,320.44,319.58,
14.46,321.89,319.69,
14.38,322.25,319.42,
14.29,321.77,319.48,
14.21,320.73,319.55,
14.12,320.07,319.61,
14.04,319.57,319.67,
13.96,318.31,319.25,
13.88,317.12,319.1,
13.79,315.99,319,
13.71,316.21,319.06,
13.62,317.77,318.83,
13.54,319.74,318.77,
13.46,321.47,319.16,
13.38,322.25,319.39,
13.29,321.39,319.09,
13.21,319.86,318.69,
13.12,319.08,318.68,
13.04,318.74,318.91,
12.96,317.69,318.61,
12.88,316.69,318.62,
12.79,315.42,318.33,
12.71,316.26,319.03,
12.62,317.4,318.48,
12.54,319.58,318.67,
12.46,320.55,318.27,
12.38,321.01,318.2,
12.29,320.63,318.45,
12.21,319.68,318.57,
12.12,318.56,318.11,
12.04,317.94,318.06,
11.96,317.01,317.94,
11.88,316.1,318.13,
11.79,315.38,318.35,
11.71,314.8,317.49,
11.62,316.79,317.8,
11.54,318.57,317.7,
11.46,319.77,317.48,
11.38,320.58,317.7,
11.29,319.48,317.27,
11.21,318.54,317.47,
11.12,317.7,317.28,
11.04,316.93,317.03,
10.96,316.19,317.13,
10.88,315,316.98,
10.79,313.83,316.76,
10.71,314.16,316.87,
10.62,315.91,316.92,
10.54,318.18,317.3,
10.46,319.59,317.36,
10.38,320.03,317.24,
10.29,319.02,316.86,
10.21,317.58,316.49,
10.12,316.97,316.47,
10.04,316.43,316.51,
9.96,315.58,316.52,
9.88,314.8,316.78,
9.79,313.26,316.19,
9.71,313.84,316.55,
9.62,314.8,315.81,
9.54,316.54,315.66,
9.46,318.15,315.92,
9.38,318.29,315.5,
9.29,317.72,315.56,
9.21,316.71,315.62,
9.12,316.38,315.88,
9.04,315.62,315.7,
8.96,314.67,315.61,
8.88,313.33,315.31,
8.79,312.66,315.61,
8.71,313.2,315.91,
8.62,314.93,315.94,
8.54,315.86,314.98,
8.46,317.1,314.85,
8.38,317.5,314.71,
8.29,317.45,315.29,
8.21,315.71,314.62,
7.87,314.57,,
7.26,315.27,,
7.2,316.33,,
7.1,314.44,,
6.16,315.34,,
4.8,314.71,,
3.79,313.17,,
3.71,312.8,,
3.56,312.22,,
2.38,312.18,,
0.25,312,,
-0.33,313.66,,
-1.23,309.69,,
-2.29,311.57,,
-3.34,310.36,,
-3.37,312.87,,
-4.38,312.56,,
-4.44,311.97,,
-4.61,311.81,,
-5.04,310.44,,
-5.24,311.28,,
-5.49,310.22,,
-6.43,312.36,,
-7.79,311.88,,
-7.96,312.84,,
-8.22,312.39,,
-9.16,311.8,,
-9.25,307.74,,
-10.03,309.8,,
-10.41,310.95,,
-10.78,311.21,,
-11.03,310.46,,
-11.84,308.48,,
-11.87,311.94,,
-12.13,311.52,,
-12.23,312.33,,
-13.14,307.41,,
-14.13,309.34,,
-14.29,307.26,,
-14.94,306.32,,
-16.12,309.63,,
-16.41,307.08,,
-17.22,305.94,,
-17.46,308.28,,
-17.71,308.26,,
-19.17,305.74,,
-20.61,305.38,,
-21.26,305.78,,
-21.46,305.71,,
-21.84,305.67,,
-22.2,308.02,,
-24.69,304.97,,
-25.25,304.72,,
-27.16,306.2,,
-27.49,303.18,,
-30.29,301.88,,
-31.33,304.61,,
-32.13,303.85,,
-34.21,301.92,,
-35.61,300.7,,
-37.48,301.3,,
-38.71,299.26,,
-38.9,297.73,,
-39.28,298.11,,
-40.24,297.87,,
-41.48,301.5,,
-44.23,299.63,,
-44.46,297.33,,
-44.65,299.02,,
-46.09,295.99,,
-48.3,295.61,,
-49.82,294.22,,
-51.06,297.05,,
-51.34,295.28,,
-56.24,293.81,,
-56.34,293.17,,
-56.94,295.32,,
-57.12,294.86,,
-57.61,295.17,,
-60.13,290.92,,
-60.99,292.34,,
-62.61,294.34,,
-64.4,288.12,,
-65.82,289.23,,
-66.21,289.76,,
-67.08,292.46,,
-70.05,287.77,,
-73.09,289.33,,
-76.26,291.56,,
-77.17,286.66,,
-79.96,286.33,,
-80.34,287.99,,
-81.59,289.54,,
-82.27,287.99,,
-83.26,285.05,,
-85.87,286.65,,
-87.02,285.35,,
-88.17,287.17,,
-91.16,286.63,,
-93.38,283.16,,
-95.28,285.57,,
-96.29,288.05,,
-98.89,285.47,,
-99.17,288.79,,
-99.74,284,,
-102.68,286.84,,
-104.1,283.62,,
-105.35,283.18,,
-105.54,283.53,,
-106.71,281.58,,
-109.17,283.65,,
-113.3,284.15,,
-116.82,283.82,,
-117.13,285.09,,
-123.08,285.91,,
-125.26,281.36,,
-136.34,284.43,,
-150.66,282.8,,
-153.53,280.4,,
-154.06,282.3,,
-155.9,281.62,,
-169.7,273.07,,
-170.51,280.24,,
-176.54,277.86,,
-186.3,276.4,,
-187.12,277.16,,
-197.87,278,,
-198.07,276.46,,
-200.88,277.6,,
-208.74,276.81,,
-216.13,278.31,,
-226.99,277.01,,
-227.14,278.27,,
-255.93,277.36,,
-260.26,276.32,,
-268.11,276.66,,
-300.9,278.02,,
-310.19,276.69,,
-321.4,273.78,,
-340.54,271.11,,
-346.58,275.07,,
-359.01,279.36,,
-361.82,281.11,,
-376.99,282.57,,
-390.14,281.83,,
-400.35,283.53,,
-420.32,283.95,,
-448.47,283.12,,
-480.6,280.31,,
-500.84,282.23,,
-521.2,279.73,,
-539.14,279.7,,
-559.67,280.91,,
-601.15,278.36,,
-619.88,284.07,,
-642.55,281.58,,
-671.8,278.43,,
-690.49,282.2,,
-698.73,282.41,,
-739.05,283.69,,
-750.19,284.54,,
-784.02,283.97,,
-803.71,284.51,,
-834.39,282.84,,
-850.59,283.09,,
-879.8,282.84,,
-900.82,280.97,,
-909.92,280.92,,
-930.73,280.06,,
-932.42,279.8,,
-967.35,278.74,,
-992.35,277.41,,
-1035.87,280.11,,
-1074.59,279.42,,
-1127.67,278.62,,
-1156.9,279.72,,
-1187.7,279.29,,
-1219.57,279.99,,
-1248.75,277.1,,
-1280.82,278.45,,
-1313,279.59,,
-1335.48,277.87,,
-1367.59,276.2,,
-1392.53,278.46,,
-1398.38,276.56,,
-1432.04,276.79,,
-1461.87,277.11,,
-1513.06,280,,
-1543.64,279.13,,
-1565.77,277.25,,
-1592.67,277.8,,
-1632.45,281.69,,
-1654.4,280.91,,
-1675.56,280.24,,
-1683.9,278.31,,
-1709.4,280.25,,
-1775.47,277.56,,
-1796.47,278.07,,
-1814,278.1,,
-1846,277.5,,
-1894,277.4,,
-1920,277.9,,
-1949,276.7,,
-1999.71,278,,
-2093.36,276.9,,
-2234.24,276.7,,
-2265.55,276.7,,
-2414.32,277.6,,
-2526.12,277.9,,
-2628.02,273.9,,
-2708.48,278.9,,
-2801.76,275.3,,
-2904.55,274.7,,
-2948.82,276.3,,
-3056.6,274.6,,
-3255.73,276.3,,
-3283.66,273.1,,
-3431.12,274,,
-3528.29,275,,
-3644.46,273.4,,
-3693.41,273,,
-3806.86,271.5,,
-3856.17,275.4,,
-3968.95,274.9,,
-4108.67,271.7,,
-4205.84,271.6,,
-4275.08,272.8,,
-4342.82,271.5,,
-4494.36,271.1,,
-4592.82,269.1,,
-4647.46,269.8,,
-4773,271.5,,
-4921.2,270.7,,
-4981.58,269.3,,
-5086.79,268.6,,
-5218.57,269.8,,
-5311.18,267.6,,
-5357.55,265.3,,
-5533.29,265.2,,
